clean_for_labeling,sentiment
saya mau kirim screnshot ini bug cheater atau apa kok error terus keluar masuk sampai kali,negative
makin enggak jelas algoritma game ini natan bintang kalah sama lolita bintang atlas bintang badang bintang sampah kali lah pokoknya masak hero gold kalah sama hero gold mending hapus saja sistem gold kalau begitu biar rata semua pokoknya kalau kalian dapat hero gold bintang sudah gendong gendong itu aneh sampah,negative
sering eror ganggu sekali,negative
eror kenapa mc buat rank relog sendiri merugikan,negative
lagi dalam permainan tibatiba logout,neutral
kenapa ini monton eror lagi main,negative
eror terus ada masalah apa coba,negative
eror terus saat main,negative
seru sinerginya banyak komander nya juga tapi atasi lag padahal sinyalnya bagus,negative
game rusak saya menang juara satu eh malah eror rilog ulang di lihat hasil pertandingan malah ke kocak benar,negative
tolong ini game nya di awasin mas montoon barusan saya ketemu hacker saya bermain hayabusa assasin astro tiba² dc dan game nya ke ganti dan akun saya stuck di ingame enggak bisa keluar sudah berkali² relogin masih sama,negative
game apa ini tiba ada tulisan maaf server tidak diketahui pada hal tidak menggunakan vpn terus keluar sendiri saat masuk lagi tidak bisa di sentuh sama sekali,negative
mohon teruntuk developer tercinta moonton anzenk kalau mengasih lawan yang setara lah sama itemnya itu lho yang susah buat di mendapatkan apalagi hero hero yang op contoh natan aurora dll mohon lah masa saya main dapat nya hero hero yang jelek terus,negative
pantaw min banyak cheat tolong kondisikan,negative
seru tapi,negative
game nya sih sudah bagus tapi ada saran dari saya tolong sekali itu buat yang download data dalem nya itu bisa di pause dong biar kalau saat paket sekarat tidak tiba tiba nyedot data banyak ini ganggu kenyamanan juga lo kalau saat baru download terus buka game otonatis download dan saat main juga masih lanjut jadi tolong ya di kasih pause nya,negative
tolong tambahkan pitur keluarkan semua perangkat di akun,negative
bagusssd,neutral
seru game nya strategis sekali,negative
ampas sekali lag nya suka delay padahal sinyal ok,negative
kalau main seperti harus pakai paketan dan kalau menggunakan wifi jaringannya bisa terputus teruspadahal dulu saat awal awal bermainmenggunakan wifi dan paketan bisa saja lalu kenapa sekarang tidak bisa dan harus menggunakan paketan agar koneksi menjadi stabil,negative
game deh bagus tapi hero pasukan tolong membanyaki dikit soalnya mau menang tapi hero tinggal dikit jadinya kalahsinergi tidak jelas sekali hero sangat mahal bintang hero jadikan sampai bintang sama hero damagenya dikit sekali kurang besar map kurang luas tolong update lebih bagus lagi,negative
terasa kental pay tapi win,neutral
please erase bot player so hard,negative
ok saja fitur juga yang sekarang lebih bagus ketimbang yang dulu overall sudah bagus,negative
bagaimana sih kok setiap update harus download data mulu download data ulang keseluruhan tidak ramah sekali any perbaiki lah sistem butut download data ulang terus,negative
koneksi mu perbaiki game setan,negative
mantap seru mainya menarik skin nya bagus bagus,negative
sinyal nya kenapa sih padahal koneksi ku baik² saja,negative
bagaimana ini game nya kok lag lag terus banyak patah nya begitu tolong diperbaiki tadinya seru begitu sudah di pisah sama mobile legend yang biasanya ada lagnya nya juga eh tahu nya lebih parah,negative
boros paket,neutral
buat kalian yang mau main sinergi dulu sebelum ada mcggkalian bisa main di advance serverkarena ada mode baru yaitu magic crystalrune yang dimana sistem nya seperti duluambil rune mirip gogocarddan sinergi lama seperti lancerelementaliststunprincenothearn valewrestler dihadirkan kembali di mode baru,negative
masa saya sudah pencet rank terus saya pencet mulai tidak mulai,negative
tolong lah kalau mengasih lawan yang adil yang rank nyasetara saya rang legend ketemu lawan yang sudah pernah ke rank mitic secara logika kemampuannya sudah jauh di atas saya,negative
game ini sangat seru grafik nya bagus sekali dan simpel seperti main pazel sangat gampang yakin kalian tidak mau donlot,negative
apalah sinyalnya seperti taikkalo mau update sinyal nya benerin dulu enggak betah saya sama game nya karena sinyal nya enggak mendukung,negative
mantap bang jadi lebih mudah untuk menyelesaikan misi skin gratis di ml nice moonton mohon di per baikin koneksi nya padahal sudah mode speed segitu saja ya,negative
seru dan enak di mainkan,negative
game tidak balance sudah sinergi kagak jelas komander skill tidak ngotak tidak enjoyable sih tidak rekomen,negative
amazing full,neutral
harga the observatorygacha skin legendcolectornya di naikin kali lipat tapi dapatnya di turunin jadi skin epic tidak ngotak memang sebelumnya game dapat skin herochessboard colector sekarang dptnya skin chessboard epic gwe auto pensi mending nunggu chess rush hok kalau begini,negative
data ini game nya harus semuanya di download tidak boleh di pause tidak recoment buat ponsel di bawah juta,negative
sih dirusak sama vonetissea sih dirusak sama moskov kapan bisa seimbang sinerginya kalau seperti begini pliss montoon nerf moskov atau kalau perlu dihilangkan dari mcgogo sangat meresahkan sinergi apapun akan kalah sama yang namanya moskov mm figter,negative
saya main magic cess season sekarang sangat sulit untuk push sudah lebih dari pertandingan tapi rank nya cuma muter di epic dan legend kalau menang naik legend habis itu kalah terus sampai turun lagi ke epeic satu terus yang mau naik lagi ke legend harus suasah payah buat menang sampai tidak mengerti sama konsep game nya enakan main magic cess waktu belum di pisah lebih adil beda sama yang sekarang setiap saya membuat sinergi sangat sulit dan hero yang di butuhkan sulit juga di dapatkannya,negative
alasan saya kasih bintang itu karena game nya bagus tapi kenapa harus di turunin sinergi kloh nya dulu sinergi nya di aktifkan cuman saya tapi bingung banyak sinergi nya saya tidak paham saya mohon montoon jangan di turunin lagi sinergi nya itu saja dari saya sekian terimakasih,negative
its terrible error strategy game ever i found not fair fight how tapi win on fight by vs tapi vs vs heroes its really ridiculously im herdy nova simanullang and wont tapi play this game again even being fixed ive got your invitation tapi test this game from my friends tapi invest and buy this game but you show me unexpectedly gameplay and horrible strategy games who wants tapi invest and play this game if not for stupidity person,positive
cepat main nin seru loh,negative
game tak menggunakan sinergi apapun kalah terus tidak jelas sekali kalau kasih kalah kalaah terus kalau menang menaaang terus mau menggunakan sinergi apapun,negative
tolong lah di nert moskov nya tidak masuk akal damage nya ya kali ling bintang kalah sama moskov bintang sudah capek jadikan combo kalah sama moskov bintang tolong baca sarah saya ini,negative
baru download kok langsung kena bug tidak bisa login padahal sinyal bagus,negative
kenapa harus dipisahuntuk loginnya susahudah begitu diverifikasi gagal teruspercuma kalau akun sudah top up full skin jadinya dulumasa harus main akun yang tiba tiba ada new user lagi bintang satu gaguna,negative
komndr jonson mresahkan tolong di nerf trimakasih,neutral
game mobile legends bang bang,positive
patch terbaru buruk bintang minus jelekmasa synergi sudah hero gold bintang banyak kalah sama hero gold bintang buruk,negative
tidak bisa replay kalau pun bisa jadi orang lain yang main dari yang menang jadi kalah apalah replay seperti begitu aneh sistem nya bagaimana kalau begitu,negative
moonton game nya sudah bagus tapi wanwan di game ini sangat op,negative
seru sh v sayang tidak ada lancelot dan demage nya membuat membuingkan tolonglh seperti seperti dulu kla di,negative
tolong nih ya buat developer gamenya tambahkan fitur album biar bisa pamer hahaha kalau lu tidak bisa biar saya saja yang jadi programmer nya,negative
game kikir sinyal padahal ijo masih menghubungkan koneksi mulu kadang juga sering bug saat mau roll di shop tolong lah devlover jangan seperti game sebelah kebanyakan skin gratissan tapi bersyarat,negative
enggak gimang,neutral
ini game apa sih gj sekali,negative
tolong moonton mcgg saya tiap habis match selalu force close padahal ruang penyimpanan masih banyak tolong untuk segera di fix bug ini,negative
game rusak sudah dalam pertandingan signal tiba² jelek terus dirusuh relog tapi sudah relog tidak kembali ke pertandingan,negative
asusinyal saya titik lag melulu,negative
sedikit saran sih untuk skin hero bisa pilih sesuai yang kita punya di mlbb jika ini di tanggapi kukasih,negative
bagus game bervariasi asi mohon mcgg kasih saya dm dong,negative
saat main ml lancar giliran main nih game malah lag parah padahal paketan banyak sama game sebelah makin banyak update makin lag wkwk tecno saja bisa di buat lag apalagi di bawah nyaga rekomen sekali,negative
sinergi tidak jelas time upnya itu membuat tolol biarin saja waktu sampai habis tambah tidak jelas komander miya n wan wan tolol,negative
walau terlihat player lain melakukan kecurangan tidak pernah ditindak oleh moonton lag dari server bukan koneksi internet dan benaran tidak seimbang bayangkan dari babak tidak satupun hero dengan sinergi sama muncul semuanya benaran acak setelah dihitung jlh permainan saya dan persentase mendapatkan hero dengan sinergi sama atau bahkan untuk bintang sekalipun bahkan tidak menyentuh dan ini terjadi selama memainkan match sistem macam apa ini terlalu banyak kejanggalan dalam game ini,negative
ini game bagus dan santai tapi mana fitur practice nya moonton saya mau fitur practice buat experiment sinergi dan comandder,neutral
saya uninstall gamenya karena bosan download resource setiap kali gantiganti server seharusnya data sdah tersimpan malah harus download kembali,negative
wouyyy ngelegnya tiba² developer kayaknya sengaja buat lag bintang dulu kalau selama tahun tidak lag baru kasih bintang dikira tidak rugi apa nih saya effort menggunakan kuota,negative
sekarang malah sinergi tidak pernah jadi terus herony,negative
mendapatkan freya malah susahnya meminta ampun,negative
overall saya lumayan suka dengan game ini keritikan saya tolong grafik nya di bagusin lagi,negative
beruntung parahmakasih,positive
sudah bagus game nya malah menghubung kan ulang terus jadi malas main nya padah koneksi nya sudah bagus masih tetap menghubungkan ulang terus tolong untuk monton perbaiki lagi,negative
lebih baik synergi baru di hapus saja karena terlalu op,negative
nerf moskov,neutral
nge bug,neutral
kenapa deh saat lawan bot di costum bot nya seperti lebih di untungkan seperti hero dan kapasitas serta item nya ini tidak adil,negative
gamenya sudah ok dari comander hero voice sinergi semua nya sudah bagus tapi tolong perbaiki server nya enggak jelas sekali tiba tiba saat mulai war sinyal lag parah sampai saya pukul nih ponsel dan juga store nya yang benar kalau mengasih hero masa mencari hero yang sama susah amat dulu awal main gampang saja mencari hero bintang hadeh tolong vizta game segera di update pembaruan nya,negative
kurang seru jadi gue hapus saja gue sudah mencoba belajar combo barusinergi baru tapi tetap lebih bagus yang dulu dan saran kalau update tidak usah di hilngin sinergi dulu biar palyer yang sudah enak makek kombo itu jadi tidak pusing main nya vonetis sudah enak di hapus dan vonetis itu yang buat gue glory tolong kemblikan vonetis saya bakal bermain kembali,negative
tolong dong ini game nya di seimbangin lagi ini game kalau membuat comander sama hero membuat yang seimbang lah jangan bikinnya ada yang kuat sekali comander wanwan yang dari dulu sudah kuat bukannya di nerft malah di buft hero sekarang lagi ada moskof yang benar benar op tidak di nerft nerft hadeh tolong lah seimbangin ini game buat apa membuat sinergi banyak banyak kalau yang dipakai itu itu melulu kenapa karena memang tidak seimbang sekalinya bagus bagus sekali jelek jelek sekali,negative
stuck logo doang sudah hapus terus download ulang tetap sama saja,negative
ini game bagus dari commander sama seperti hero nya,neutral
saat saya masuk loading screen nya tidak maju maju padahal baru beli kuota terus ada tulisan cek koneksi anda,negative
semoga makin bagus,neutral
sinyal bagus tapi lag,negative
game rusak jangan di download dari pada nyesal enakan yang dulu,negative
tambahkan mode practice dong biar seru,negative
this is very very very very very very very very very good,positive
woy monton kasih gue purpy kenapa hyper gue di tarik prngko mulu bab,negative
game berakitrakit ke hulu berenang ketepian bersakit dahulu kombo pun tak datang malah mati kemudian sinergi baru datang menjelang ajal dan gold sudah habis buat refresh dan selalu berulang walau sudah ganti lineup,negative
