clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
mcc gogo enggak jelas mending sison satu bagusan main eru jadi makin ribet semuah nya jadi ribet hah kurang seru sekarang sison tolong dong mc gogo sinergi dwonwinger di bap lagi,negative,positive,negative,negative,negative,negative,negative,negative
ada bug dimana blesing tidak terhitung dan tetap harus memiliki hero untuk aktif kan sinergi contoh hero cyclops memiliki blesing kali dari stargizer tapi di papan hanya terdeteksi alias tidak menghitung blessing yang didapatkan,negative,positive,negative,neutral,negative,negative,neutral,negative
sih makin ribet,neutral,positive,negative,negative,negative,negative,negative,negative
game yang sangat seru cocok untuk santai,negative,negative,positive,positive,neutral,positive,positive,positive
miya jonson wanwan tolong di kurangi damage nya commander yang membuat susah ngepush player lain yang ada malah keenakan terus menggunakan commander lemah begitu tolong di baca min makin ke sini makin tidak jelas magic ches mc sekarang cuma buat player² cupu doang yang menggunakan commander miya jonson wanwan tidak seperti dulu lagi,negative,positive,negative,negative,negative,negative,negative,negative
menggunakan jhonson tidak muncul jhonny sampai late game kocak,negative,positive,positive,negative,negative,negative,neutral,negative
saya main magic cess setelah update kena dark mulu anjir serasa aneh giliran beruntung sekali scroll dapat bintang langsung giliran susah susah sekali anjir sudah scroll bbrapa kali kagak dapat hero yang diinginkan,negative,positive,negative,negative,negative,negative,negative,negative
game nya seru tapi loading nya kadang kagak maju maju,neutral,positive,positive,neutral,negative,negative,positive,negative
game rusak hero lawan pindah arah sama jalan eh malah hero kita stuck ditempat saat lagi ulti hadehhh benerin lah jangan dianggep remeh sudah posisi menang gara begitu malah kalah dan sudah ditunggu muncul johny crystal astro malah tidak muncul hdehh dimohon ya moonton yang terhormat optimalkan semuanya terima kasih,negative,positive,negative,negative,negative,negative,negative,negative
kekurangan tidak bisa menunda download data,negative,negative,positive,neutral,negative,negative,negative,positive
banyak buggk bisa di pencetdev kikir,negative,positive,neutral,negative,negative,neutral,neutral,negative
lambat parah,negative,positive,negative,negative,negative,negative,negative,negative
setiap mvp pertandingan selanjutnya tidak bakalan mvp lagi pasti di kasih susah mencari hero susah sudah begitu hero yang kita punya tidak ada damge sama sekali,negative,positive,negative,negative,negative,negative,negative,negative
coba dulu kalau bagus di tambahkan bintang,negative,neutral,positive,neutral,negative,positive,neutral,neutral
ribet sekali buat download,negative,positive,negative,negative,negative,negative,negative,negative
game kagak balance,neutral,positive,negative,negative,negative,negative,positive,negative
banyak yang berubah sinergi jadi bingung ngulang dari awal lagi mencari combo juga sudah malas auto uninstall meskipun season sebelumnya sudah mythic honor,negative,positive,negative,negative,negative,negative,negative,negative
permainan tidak mutu,negative,positive,negative,negative,negative,negative,negative,negative
tambah opsi pengaturan buat pindah akun dong seperti di game induk mlbb biar bisa buka akun kecil saya,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game makin lama makin enggak jelas komander baru muncul deh dinerf enggak usah buat komander nak mau dinerf doang,negative,positive,negative,negative,negative,negative,negative,negative
why is there nomor practice mode ini my app,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
game asik bisa main sambil kerja di rumah,positive,negative,positive,neutral,neutral,positive,neutral,positive
saya bermain game magic chess sih sudah cukup lama semenjak masih digabung sama ml dan walaupun ponsel saya sedikit kurang dari segi manapun tapi kalau main magic chess masih lancar lancar saja terus setelah di pisah dari aplikasi ml saya langsung main tuh dari season nah saat update kemarin ke season malah jadi berat sekali apknya sampai² ponsel saya ngefreeze padahal saya deh hapus ml masih saja begitu jadi ya mohon untuk di buat semakin ringan apknya sekian,negative,positive,negative,neutral,negative,negative,negative,negative
lebih mending magic chess yang nyatu sama mobile legend yang ini roll nya susah sudah roll berapa kali enggak dapat hero sinergi yang sesuai jadi malas main sudah lah ampas nih game,negative,positive,negative,negative,negative,negative,negative,negative
kenapa di rangked mitic tidak bisa band komander,negative,positive,neutral,negative,negative,neutral,neutral,neutral
fifty fifty ajasih soalnya kekurangannya cuman di kartu sama sinergi yang sulit dipahami,negative,positive,negative,negative,negative,negative,neutral,negative
ini kenapa saya tidak bisah lagi memainkan magic chess selalu saja belum bisah donload katanya,negative,positive,negative,negative,negative,negative,negative,negative
yang ngeluh season sekarang ribet membuat pusing lah fix bocil tiktok fomo user sinergi kangkung,negative,positive,negative,negative,negative,neutral,negative,negative
game settingan anjenggggggg,positive,positive,negative,negative,negative,negative,negative,negative
sudah bagus dari keseluruhanbanyak fitur baru dan keren,negative,negative,positive,positive,neutral,positive,positive,positive
sekarang magiccess sudah kekanakakan ya jadi kangen yang dulu,negative,negative,positive,negative,negative,negative,negative,positive
game nya bagus tapi buat kuatanya seperti boros sekali bisa tidak seperti ml saja lebih hemat kalau magic ces menit saja mbak ke atas bisa tidak lebih hemat lagi,negative,positive,negative,neutral,negative,negative,negative,negative
shop saya selalu ampas kenapa ya,negative,positive,negative,negative,negative,negative,positive,negative
game apaan hiro setiap sinergi cuma enak tapi di sinergi game kocak,negative,positive,positive,neutral,negative,positive,neutral,positive
good nyaman seru,positive,negative,positive,positive,neutral,positive,positive,positive
sangat tidak cocok dimainkan masa cari hero yang dipengen susah sekali mana sudah habis banyak gold gadapetdapet naikin woi persentase hero harga nya,negative,positive,negative,negative,negative,negative,negative,negative
game nya bagus saat saya baru download dan login dan pakai akun ke dan atau simpan akun ke google atau aplikasi lain nah saat saya pakai akun ke malah kesalahan koneksi padahal sudah ada wifi dan ke akun masih saja kesalahan koneksi mohon di perbaiki,negative,positive,negative,negative,negative,negative,positive,negative
enggak dapat mino bintang padahal masih ada mino,negative,positive,negative,negative,negative,negative,negative,neutral
perbaiki dong banyak player yang pakai cheat game bagus jadi rusak,negative,positive,negative,negative,negative,negative,negative,negative
semoga lebih sukses kedepan nya,positive,negative,positive,positive,neutral,positive,positive,positive
di kecilin dikit mbak nya ml saja kecil moba,negative,positive,negative,negative,negative,negative,negative,negative
kembaliin kangkung moonton,neutral,neutral,neutral,neutral,negative,neutral,neutral,negative
bagus sekali jir saya tidak bosan main mc terima kasih monoton,negative,negative,positive,positive,neutral,positive,positive,positive
game ini sangat keren sekali menghibur sekali,neutral,negative,positive,positive,neutral,positive,positive,positive
lag sekali anying,negative,positive,negative,negative,negative,negative,negative,negative
sering lag padahal wifi bagus,neutral,positive,positive,negative,negative,positive,positive,negative
dewasa ya main mc,negative,negative,negative,neutral,negative,negative,negative,positive
setelah updeat season kenapa sering lag terus lagnya pass di late game lagi bagaimana mau juara satu kalau pass final lag tolong lah moonton memperbaiki itu di sini koneksi dan ponsel sudah mendukung tapi kenapa masih lag parah saat late game,negative,positive,negative,negative,negative,negative,negative,negative
kalau niat misahkan mc sama ml coba temanpertemanan nya tidak usah terhubung antara mc gogo dan ml,negative,neutral,neutral,negative,negative,negative,neutral,negative
karena ada tulisan moonton,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
mengapa kok tidak bisa masuk match,negative,positive,negative,negative,negative,negative,negative,negative
game strategi terbaik yang pernah saya mainkan,neutral,negative,positive,neutral,neutral,positive,positive,positive
pilih kasih orang lain gampang membuat sinergi lah saya mentok mentok,negative,positive,negative,negative,negative,positive,negative,negative
bagusan season ini kebanding season,positive,negative,positive,neutral,neutral,positive,positive,positive
banyak yang fomo,negative,positive,neutral,negative,negative,positive,negative,negative
aplikasi jelek sok update kebanyakan sinergi wajib hapus ini aplikasi poak,negative,positive,negative,negative,negative,negative,negative,negative
magic chess update malah susah membuat hero bintang apa karena hero kebanyakan jadi tidak keluar hero yang di butuhkan semenjak update ini jadi susah naik rank gara gara susah jadikan hero bintang,negative,positive,negative,negative,negative,negative,negative,negative
saya harap kedepannya audio dubbing diperluas dan effect combo ulti yang makin ditingkatkan gameplay sudah seru dan waktu setiap matchnya singkat walaupun saya harap bisa sedikit aga diperlama karena susah sekali medalatkan bintang diwaktu tersebut,negative,negative,positive,neutral,neutral,positive,positive,positive
kalau ada comander baru riset nya yang benertio update ada comander baru op mulu tidak jelasdi nerf juga percuma tidak terlalu berpengaruhngerusak gameplay saja blok,negative,positive,negative,negative,negative,negative,negative,negative
game rusak damage hero tidak seimbang,neutral,positive,negative,negative,negative,negative,negative,negative
tolong dong masa saya main kali tiga tiga kagak dapat hero yang di butuhkan ini bug apa bagaimana tolong dong,negative,positive,negative,negative,negative,negative,negative,negative
commander nya hama semua lahhtolong commander seperti jony di nerf habis habisan miya wan wan,negative,positive,negative,negative,negative,negative,negative,negative
game yang sengaja membuat player kalahdan tidak adil dalam pemberian card maupun shop sistem terlalu mencampuri dalam permainan game setingan,negative,positive,negative,negative,negative,negative,negative,negative
