content,clean_for_labeling
game ngelek tambah lama dimainin,game lag tambah lama dimainin
"Gamenya cocok bagi saya yang suka berpikir kritis, semoga makin berkembang, ya!",gamenya cocok bagi saya yang suka berpikir kritis semoga makin berkembang ya
"setelah update jadi busuk, enak yang kemarin",setelah update jadi busuk enak yang kemarin
guud,guud
"mkin ke sini makin GK jls,,mkin tambah burik mcgg ny🥵",makin ke sini makin tidak jlsmkin tambah burik mcgg nya
"sehabis s1 saya tidak bisa menghubungkan akun mlbb ke mcgg saya, apaakah memang sedang ada perbaikan?",sehabis sih saya tidak bisa menghubungkan akun mlbb ke mcgg saya apaakah memang sedang ada perbaikan
pls mc perbaiki jaringan nya saya udh pakai paket data udh pakai wifi tetep saja lag 11 12 kayak ml ini game lag banget btw lokasi saya Depok bukan perhutanan ga logis kalo kota itu lag,tolong mc perbaiki koneksi nya saya sudah pakai paket data sudah pakai wifi tetap saja lag seperti ml ini game lag sekali btw lokasi saya depok bukan perhutanan tidak logis kalau kota itu lag
gak perlu jago yang penting hoki,tidak perlu jago yang penting beruntung
sehabis update susah banget dapet Hero yg di pake saat role,sehabis update susah sekali dapat hero yang di menggunakan saat role
abis update makin nggk jelas,habis update makin enggak jelas
pemberian gold yang terlalu sedikit,pemberian gold yang terlalu sedikit
Hore gue menang,hore gue menang
biar apa ganti meta mulu tolol,biar apa ganti meta mulu tolol
ini game yang paling terkenal di dunia aku suka game ini,ini game yang paling terkenal di dunia saya suka game ini
"Dengan Terpaksa saya harus hapus game ini, see you in the next time.",dengan terpaksa saya harus hapus game ini sih you ini the next time
"anak saya bermain game ini gak pernah hoki dia padahal tujuannya bikin kombo erudio gak pernah di kasih hero erudio sama sekali malah di kasih hero lainnya akhirnya dia marah "" dan sering berkata kasar di hadapan saya",anak saya bermain game ini tidak pernah beruntung dia padahal tujuannya membuat kombo erudio tidak pernah di kasih hero erudio sama sekali malah di kasih hero lainnya akhirnya dia marah dan sering berkata kasar di hadapan saya
update season 2 makin buruk lebih baik season 1 dengan sinergi yang bisa dimekanikin,update season makin buruk lebih baik season dengan sinergi yang bisa dimekanikin
"update terbaru sering banget stuck di game , menghubungkan kembali padahal jaringan bagus main plus wifi data masih juga ngelek , sbelum update enak² aja main yaa gak ada masalah , bintang 1 kali ini buat mcgg 👎",update terbaru sering sekali stuck di game menghubungkan kembali padahal koneksi bagus main plus wifi data masih juga lag sebelum update enak² saja main ya tidak ada masalah bintang kali ini buat mcgg
tulisannya bahasa indonesia tapi gw stuck di dubbing bahasa indonesia gk bisa ganti bahasa inggris klo review gw ini gk kebaca gw uninstall lagi ini game,tulisannya bahasa indonesia tapi saya stuck di dubbing bahasa indonesia tidak bisa ganti bahasa inggris kalau review saya ini tidak kebaca saya uninstall lagi ini game
mantap gak jenuh nunggu waktu pulker,mantap tidak jenuh nunggu waktu pulker
"update S2 jelek, gameplay patah2, lag, efek skill berlebihan, tidak bisa menikmati selama pertempuran. re design Hero terlalu berlebihan, dan color nya hampir sama semua. ini hp bukan kentang dan jaringan super ngebut padahal",update sih jelek gameplay patah lag efek skill berlebihan tidak bisa menikmati selama pertempuran re design hero terlalu berlebihan dan color nya hampir sama semua ini ponsel bukan kentang dan koneksi super ngebut padahal
hero nya gak dikasih mulu harus nabrak hero orang lain kalau hero atau combo gak ada yang pake percaya sama gua gak bakalan di kasih hero sama combonya harus saling nabram sama rebutan itu disetting sama moontonnya harus gitu,hero nya tidak dikasih mulu harus nabrak hero orang lain kalau hero atau combo tidak ada yang menggunakan percaya sama saya tidak bakalan di kasih hero sama combonya harus saling nabram sama rebutan itu disetting sama moontonnya harus begitu
lumayan mengisi waktu luang dan mengasa otak karna ini game strategi,lumayan mengisi waktu luang dan mengasa otak karena ini game strategi
"Kumpulin coin nya susah banget min, buat upgrade commander jadi lama, seminggu kaya nya cuma bisa dapet 3000 sampai 4000 an mungkin, sedangkan beli satu commander 8250.",kumpulin coin nya susah sekali min buat upgrade commander jadi lama seminggu seperti nya cuma bisa dapat sampai an mungkin sedangkan beli satu commander
BALIKIN NATURE SPIRIT ( KANGKUNG) WOIII MOONTON!!!!!!!,balikin nature spirit kangkung woiii moonton
s2 sekarang kebanyakan efek sinergi nya banyak bangett jadi pusing nge hafalin nya,sih sekarang kebanyakan efek sinergi nya banyak sekali jadi pusing nge hafalin nya
makin jelek aja ni game,makin jelek saja nih game
"makin GK jelas sumpah,ampas",makin tidak jelas sumpahampas
game jelek dan burik,game jelek dan burik
game yg bagus sangat menantang,game yang bagus sangat menantang
"kecewa berat nih ama moonton abis update heronya jelek"" warna hampir sama semua bikin sakit mata, udh gitu poin eru dikurangin padahal hero""eru udh lemah",kecewa berat nih sama moonton habis update heronya jelek warna hampir sama semua membuat sakit mata sudah begitu poin eru dikurangin padahal heroeru sudah lemah
tidak bisa mereset game untuk mulai dari awal,tidak bisa mereset game untuk mulai dari awal
seru banget gua kasih bintang lima dan gua saranin buat main ini seru,seru sekali saya kasih bintang lima dan saya sarankan buat main ini seru
"moonton, tolong kembalikan pemilihan sekil comender ky dulu",moonton tolong kembalikan pemilihan sekil comender seperti dulu
goooddddd,goooddddd
aku awalnya main untuk skin x borg tetapi setelah saya main ukuranya besar bet lebih besar daripada ml grafik low,saya awalnya main untuk skin kali borg tetapi setelah saya main ukuranya besar sekali lebih besar daripada ml grafik low
"Aneh bnget updetan baru ini, ga seimbang, sinergy kebnyakan yg di hapus 4 yg di tambah 5 permainan jadi ga balance, combo ga jelas, masa hero 5 gold kalah sama role bawah, terlalu jauh patchnya di ubah yg udah biasa main sebelumnya jdi kayak baru belajar main lagi, kaji lagi tu",aneh sekali updetan baru ini tidak seimbang sinergy kebnyakan yang di hapus yang di tambah permainan jadi tidak balance combo tidak jelas masa hero gold kalah sama role bawah terlalu jauh patchnya di ubah yang sudah biasa main sebelumnya jadi seperti baru belajar main lagi kaji lagi itu
bintang 5 kalo bisa di tuker battle point dari mobile legends ke magic chess nya. Kaya di magic chess dulu,bintang kalau bisa di tuker battle point dari mobile legends ke magic chess nya seperti di magic chess dulu
why top up kenapa ngak masuk,why top up kenapa enggak masuk
absolute peak,absolute peak
bagus game nya banyak hadiah yang didapatkan,bagus game nya banyak hadiah yang didapatkan
"lebih suka megic cheese yg dulu sehubungan dengan ml dari pada pisah ,jadi ngumpulin duit atau bpnya susah",lebih suka megic cheese yang dulu sehubungan dengan ml dari pada pisah jadi ngumpulin duit atau bpnya susah
seruuuuu bgtttt mc dulu ataupun skarang sama2 seruuuu cuma di season 2 ini kayak belajar lagi karna ada sinergi baru dan heronya pake skin jadi harus menghafal lagi wkwkk TAPI INTINYA SERU PUOLLLL,seruuuuu sekali mc dulu ataupun sekarang sama seruuuu cuma di season ini seperti belajar lagi karena ada sinergi baru dan heronya menggunakan skin jadi harus menghafal lagi wkwkk tapi intinya seru puollll
saya lebih suka gameplay yang dulu dari pada yang sekarang. gameplay yang sekarang susah dipahami,saya lebih suka gameplay yang dulu dari pada yang sekarang gameplay yang sekarang susah dipahami
makan kuota + lag+lemot,makan kuota laglemot
"game rusak demage asal asalan , Hero 4 gold bintang 2 + item kalah sama Hero 4 gold bintang 1 no item padahal sama² 6 sinergi mana comander nya bisa jalan² lagi cheesboard nya",game rusak demage asal asalan hero gold bintang item kalah sama hero gold bintang nomor item padahal sama² sinergi mana comander nya bisa jalan² lagi cheesboard nya
tolong di perbaiki bug ya,tolong di perbaiki bug ya
"game bikin emosi dan permusuhan,,,bikin permusuhan dalam permainan yg ga seimbang",game membuat emosi dan permusuhanbikin permusuhan dalam permainan yang tidak seimbang
"game nya si udah bagus tapi kenapa ya sering nge lag padahal grafis nya udah di ubah jadi rendah tapi Masih aja lag tolong di perbaiki, terus kenapa mode offline nya gabisa dimainkan apalah makin update making nge lag",game nya sih sudah bagus tapi kenapa ya sering nge lag padahal grafis nya sudah di ubah jadi rendah tapi masih saja lag tolong di perbaiki terus kenapa mode offline nya enggak bisa dimainkan apalah makin update making nge lag
hadiah season tidak menarik tidak seperti mobile legends biasa mendapatkan keuntungan besar setiap season dan tergantung rank,hadiah season tidak menarik tidak seperti mobile legends biasa mendapatkan keuntungan besar setiap season dan tergantung rank
enak buat nyantai.. kalo bisa sih ada blazing2 nya lagi ga cuma 1 Hero terus di tuker²,enak buat nyantai kalau bisa sih ada blazing nya lagi tidak cuma hero terus di tuker²
mantap adanya update terbaru,mantap adanya update terbaru
"Setelah update tidak bisa berganti akun mcgg , Capcha eror tidak bisa diselesaikan . Tolong pihak terkait segera di perbaiki!",setelah update tidak bisa berganti akun mcgg capcha eror tidak bisa diselesaikan tolong pihak terkait segera di perbaiki
bagus tapi terlalu banyak bintang yg harus di kumpulin jadi ngak naik naik rank nya,bagus tapi terlalu banyak bintang yang harus di kumpulin jadi enggak naik naik rank nya
sumpah butuh update lagi monton...skil 123 comender tolong di kembalikan...dari seasen 1 main yg sekarang GK jlas,sumpah butuh update lagi montonskil comender tolong di kembalikandari seasen main yang sekarang tidak jlas
bagus dan jauh lebih baik setelah update,bagus dan jauh lebih baik setelah update
"sinergi 10 hanya 1comander yg bisa itu pun dengan 3 syarat.1 kartu crystal, 2 crystal di pase pemilihan, 3 blesing. trus untuk comander yg lain gimana caranya untuk mengatifkan sinergi 10? game kocak ngak niat bikin yah ngak usah di adain sinergi 10. untuk sekarng hanya sinergi 9 untuk semua comander!",sinergi hanya comander yang bisa itu pun dengan syarat kartu crystal crystal di pase pemilihan blesing terus untuk comander yang lain bagaimana caranya untuk mengatifkan sinergi game kocak enggak niat membuat ya enggak usah di mengadakan sinergi untuk sekarang hanya sinergi untuk semua comander
"season 2 keren bet.,",season keren sekali
bagus dan seru tapi sayang saking bagusnya gak kayak dulu lebih ngefek saat combo udah jadi dan ada pilihannya kanan kiri seperti swordman combonya keluar pedang ada pukulan combonya keluar pukulan besar seperti itulah yg kuinginkan sampai sekarang.,bagus dan seru tapi sayang saking bagusnya tidak seperti dulu lebih ngefek saat combo sudah jadi dan ada pilihannya kanan kiri seperti swordman combonya keluar pedang ada pukulan combonya keluar pukulan besar seperti itulah yang kuinginkan sampai sekarang
karna bagus banget mabarnya senang seru sekali😁😁🥰🥰,karena bagus sekali mabarnya senang seru sekali
"Game nya bagus kalo, gabut lebih seru mainnya tapi tolong kalo kasih Hero yang dibutuhkan bukan yang beda jauh sinergi nya",game nya bagus kalau bosan lebih seru mainnya tapi tolong kalau kasih hero yang dibutuhkan bukan yang beda jauh sinergi nya
Updetan S2nya keren,updetan snya keren
"Itu synergy doomsworm hapus aja kagak guna, spawn Hanabi tapi attack speed sama damage kagak ada sama sekali",itu synergy doomsworm hapus saja kagak guna spawn hanabi tapi attack speed sama damage kagak ada sama sekali
"ini untuk battle point game nya dipermudahlah dev yang pinter, buat pemula susah naikin lv commandernya pinter, hewan kaki empat.. ga di ml ga di mc masih aja kikir gua kasih bintang 5 biar jadi top comment kalo ga y gpp",ini untuk battle point game nya dipermudahlah dev yang pintar buat pemula susah naikin lv commandernya pintar hewan kaki empat tidak di ml tidak di mc masih saja kikir saya kasih bintang biar jadi top comment kalau tidak nya enggak apa-apa
Makin gajelas synergy nya bingung gw,makin enggak jelas synergy nya bingung saya
masih belajar juga,masih belajar juga
"makin kesini main aneh aja ini game,mending magic chess pertama sebelum ada Gogo bener ga sih?",makin kesini main aneh saja ini gamemending magic chess pertama sebelum ada gogo benar tidak sih
selalu muncul di semua video,selalu muncul di semua video
bukan game strategi tapi game hoki. sangat tidak menarik,bukan game strategi tapi game beruntung sangat tidak menarik
Semoga tambah berkembang magic ches go go,semoga tambah berkembang magic ches go go
waduh ini update season 3 kenapa yak? main ilangin vonetis segala,waduh ini update season kenapa ya main ilangin vonetis segala
nerf commander wanwan tidak adil,nerf commander wanwan tidak adil
"hero wanwan nerf ,damage gk ngotak",hero wanwan nerf damage tidak ngotak
"di update,makin g jelas ya udah auto di uninstall",di updatemakin enggak jelas ya sudah auto di uninstall
game yang bagus dan Heronya makin banyak,game yang bagus dan heronya makin banyak
"sering masalah server jadi ga nyaman main, game play juga masih enakan yg dulu, tolong tim mcgg review kembali, tks",sering masalah server jadi tidak nyaman main game play juga masih enakan yang dulu tolong tim mcgg review kembali tks
di update terbaru ini sesion 2 ada bug di mana comender lawan sering berkeliaran atau jalan2 di papan bort ny membuat pandangan tergangu dan menyebabkan lag.,di update terbaru ini sesion ada bug di mana comender lawan sering berkeliaran atau jalan di papan bort nya membuat pandangan tergangu dan menyebabkan lag
makinn seru...makin susah..makin mendebarkan,makinn serumakin susahmakin mendebarkan
antappp,antappp
sangat menyenangkan menghibur untuk waktu luang,sangat menyenangkan menghibur untuk waktu luang
"update tan tersamapah yg pernah ada di megic chase, tidak ada seru2 nya lagi.",update tan tersamapah yang pernah ada di megic chase tidak ada seru nya lagi
"paansi di ubah"" mulu synergi sama comander,bikin bingung aja",paansi di ubah mulu synergi sama comanderbikin bingung saja
kembalikan lagi dong MC yang dulu saya rasa masih kalah jauh sama yang dulu yang sebelum di pisah apk nya,kembalikan lagi dong mc yang dulu saya rasa masih kalah jauh sama yang dulu yang sebelum di pisah aplikasi nya
